property_id,square_feet,bedrooms,bathrooms,location_type,property_age_years,garage_spaces,has_garden,distance_to_city_center_km,school_rating,price_in_lakhs
PROP-1063,2711,5,3,Urban,17,2,Yes,6.2,6.8,142.64
PROP-1064,891,2,1,Rural,27,0,Yes,20.5,6.9,16.77
PROP-1065,2691,4,2,Suburban,23,1,Yes,11.6,7.8,100.12
PROP-1066,3474,5,4,Suburban,7,1,No,11.0,5.7,139.86
PROP-1067,4067,5,4,Urban,7,0,No,1.9,6.1,193.45
PROP-1068,3262,5,4,Urban,3,2,No,6.7,4.4,163.23
PROP-1069,3595,5,3,Urban,26,0,No,3.4,3.1,165.72
PROP-1070,2013,3,3,Suburban,4,0,No,16.5,5.0,69.65
PROP-1071,2789,4,3,Rural,32,1,No,18.2,4.3,69.78
PROP-1072,2040,3,3,Suburban,33,2,No,12.6,7.3,74.03
PROP-1073,3653,5,3,Urban,29,3,No,1.1,6.0,173.84
PROP-1074,2128,2,2,Suburban,7,2,No,15.2,5.9,77.84
PROP-1075,4149,5,4,Urban,25,2,No,4.5,5.2,196.35
PROP-1076,3206,5,4,Urban,33,1,No,4.8,2.0,142.06
PROP-1077,1425,1,1,Suburban,6,0,Yes,6.6,9.2,66.49
PROP-1078,684,1,1,Suburban,27,0,Yes,8.5,5.2,15.0
PROP-1079,2903,3,2,Urban,27,1,No,1.4,6.1,136.35
PROP-1080,3802,5,2,Urban,13,2,Yes,2.7,4.5,185.12
PROP-1081,2605,5,4,Rural,3,1,Yes,25.7,8.4,81.52
PROP-1082,2235,3,2,Urban,17,2,No,4.4,7.0,109.47
PROP-1083,4109,5,4,Urban,24,1,Yes,4.7,5.5,199.62
PROP-1084,3723,4,3,Urban,6,0,No,4.3,6.2,181.25
PROP-1085,1671,4,3,Urban,27,0,No,2.6,9.5,89.05
PROP-1086,4111,5,4,Urban,4,2,Yes,2.5,6.7,221.26
PROP-1087,3263,5,4,Suburban,2,2,Yes,7.6,6.5,140.2
PROP-1088,1779,3,3,Urban,30,2,No,6.1,5.3,79.47
PROP-1089,2150,3,3,Suburban,19,0,No,13.4,3.8,72.5
PROP-1090,1352,1,1,Suburban,18,3,Yes,8.2,6.5,52.7
PROP-1091,3099,4,3,Suburban,10,1,Yes,8.1,7.3,128.02
PROP-1092,3427,5,4,Rural,2,0,Yes,29.8,8.6,99.08
PROP-1093,2229,2,2,Rural,22,3,Yes,27.6,3.2,61.74
PROP-1094,811,2,2,Urban,6,1,No,5.0,5.0,44.68
PROP-1095,851,1,1,Suburban,22,2,Yes,10.9,5.9,23.62
PROP-1096,2631,4,3,Suburban,6,0,Yes,9.1,6.8,103.62
PROP-1097,1645,2,2,Rural,33,1,Yes,31.7,6.6,33.87
PROP-1098,2967,4,3,Suburban,18,3,No,15.6,6.6,116.88
PROP-1099,1465,3,2,Rural,8,1,Yes,20.1,7.5,41.59
PROP-1100,3992,5,3,Suburban,17,2,Yes,16.2,5.4,153.3
PROP-1101,1105,1,1,Urban,24,0,Yes,5.6,8.3,42.96
PROP-1102,4183,5,3,Suburban,13,2,No,9.6,7.5,161.6
PROP-1103,1925,3,2,Rural,24,1,Yes,22.3,6.3,53.04
PROP-1104,1666,3,2,Rural,18,1,No,18.2,9.4,45.47
PROP-1105,2993,4,3,Urban,14,1,No,1.7,9.3,145.43
PROP-1106,3417,5,3,Suburban,15,0,No,14.7,8.3,128.06
PROP-1107,987,1,1,Urban,26,3,No,2.6,2.0,37.27
PROP-1108,1528,3,3,Urban,9,1,No,5.9,9.3,84.76
PROP-1109,1726,2,1,Suburban,3,1,Yes,17.9,8.1,63.96
PROP-1110,1441,2,2,Urban,18,1,No,1.5,10.0,71.83
PROP-1111,2914,5,3,Suburban,27,1,No,11.7,8.8,102.86
PROP-1112,1413,2,1,Urban,20,2,No,5.8,9.3,70.36
PROP-1113,2885,5,4,Suburban,13,3,Yes,15.5,8.2,121.76
PROP-1114,1029,2,2,Urban,32,1,No,5.6,9.0,42.56
PROP-1115,1142,2,1,Urban,9,2,No,3.1,10.0,65.23
PROP-1116,3762,5,3,Urban,18,1,No,3.7,7.1,184.95
PROP-1117,1830,2,2,Urban,29,0,No,4.6,4.3,74.05
PROP-1118,2712,4,2,Urban,21,2,No,6.8,6.3,129.65
PROP-1119,714,1,1,Urban,2,1,No,3.0,7.4,40.59
PROP-1120,3218,5,4,Suburban,17,2,Yes,17.1,6.9,122.9
PROP-1121,2017,3,3,Urban,10,2,No,2.6,4.8,108.83
PROP-1122,1802,3,2,Suburban,1,1,Yes,17.9,4.2,67.04
PROP-1123,2677,4,3,Urban,11,3,No,5.0,5.6,137.68
PROP-1124,3345,5,4,Rural,5,2,Yes,22.9,8.1,110.93
PROP-1125,2145,4,3,Rural,28,1,Yes,25.4,9.3,59.84
PROP-1126,3784,5,4,Suburban,29,2,Yes,9.3,8.3,150.76
PROP-1127,1812,2,1,Urban,1,1,No,2.6,8.5,94.16
PROP-1128,2172,4,3,Urban,8,3,Yes,1.7,6.7,116.46
PROP-1129,3290,4,3,Rural,1,2,Yes,16.9,4.0,100.33
PROP-1130,1041,2,2,Urban,28,0,No,3.1,6.1,41.24
PROP-1131,2348,3,2,Urban,32,1,No,5.6,6.4,102.49
PROP-1132,1068,2,1,Urban,9,2,No,4.6,6.0,49.85
PROP-1133,2986,4,2,Urban,33,0,No,1.6,6.9,138.89
PROP-1134,1028,2,2,Urban,7,0,No,6.1,7.5,57.26
PROP-1135,2446,4,3,Suburban,32,1,Yes,13.2,8.2,94.96
PROP-1136,2928,3,3,Urban,5,1,Yes,6.8,6.4,150.48
PROP-1137,3715,5,4,Suburban,18,1,Yes,14.0,3.8,137.56
PROP-1138,2738,5,4,Urban,31,1,No,2.1,6.0,129.08
PROP-1139,3749,5,4,Urban,26,0,No,3.8,6.9,173.79
PROP-1140,2832,4,3,Rural,0,2,Yes,26.0,8.8,93.88
PROP-1141,850,1,1,Urban,32,1,No,1.2,5.9,33.26
PROP-1142,2513,4,3,Suburban,31,1,No,6.2,7.6,92.98
PROP-1143,1429,2,1,Suburban,4,1,No,7.6,7.3,61.2
PROP-1144,3627,5,4,Urban,16,1,No,2.5,6.9,179.68
PROP-1145,3754,5,3,Rural,7,0,No,22.3,8.3,105.46
PROP-1146,3769,5,3,Urban,33,0,No,3.9,5.7,168.57
PROP-1147,1152,1,1,Rural,8,0,No,17.3,5.9,26.36
PROP-1148,3104,3,3,Urban,22,2,No,5.0,6.8,150.86
PROP-1149,2401,4,3,Rural,34,2,Yes,25.1,5.8,64.23
PROP-1150,1454,2,2,Urban,6,2,Yes,2.8,7.6,88.74
PROP-1151,2796,3,1,Suburban,14,2,Yes,6.2,5.7,113.58
PROP-1152,3381,4,3,Suburban,19,2,Yes,6.9,7.2,135.66
PROP-1153,2545,3,2,Rural,24,1,Yes,21.7,6.6,63.85
PROP-1154,3423,5,4,Rural,2,2,Yes,17.6,7.1,108.39
PROP-1155,2220,3,2,Suburban,23,0,Yes,10.5,6.1,77.66
PROP-1156,1610,2,2,Rural,33,2,Yes,25.7,6.3,38.04
PROP-1157,3310,4,3,Urban,21,2,No,4.3,7.0,166.12
PROP-1158,2135,2,2,Urban,10,1,No,2.4,7.1,105.44
PROP-1159,3340,4,3,Urban,7,1,No,3.1,6.8,168.62
PROP-1160,1678,2,1,Urban,34,1,No,4.7,9.5,73.58
PROP-1161,3939,5,4,Urban,7,2,No,6.2,5.2,195.94
PROP-1162,1152,2,2,Suburban,26,2,Yes,15.0,6.7,44.33
PROP-1163,3464,5,4,Urban,27,2,Yes,4.3,4.3,161.24
PROP-1164,1047,1,1,Suburban,33,1,Yes,10.3,7.4,30.64
PROP-1165,1520,4,3,Urban,31,2,Yes,3.2,5.0,80.46
PROP-1166,3492,5,4,Urban,14,1,No,6.3,6.4,171.14
PROP-1167,1042,2,2,Suburban,16,2,Yes,6.5,6.2,41.32
PROP-1168,856,2,2,Suburban,32,1,Yes,17.9,7.2,16.78
PROP-1169,1688,1,1,Suburban,15,1,Yes,14.0,5.9,56.29
PROP-1170,2531,4,3,Suburban,28,1,No,14.2,5.8,87.73
PROP-1171,3589,5,3,Urban,8,2,Yes,1.2,9.1,185.38
PROP-1172,2134,3,2,Suburban,32,3,Yes,13.3,7.3,80.65
PROP-1173,1513,2,2,Urban,28,0,No,3.9,5.9,65.56
PROP-1174,3440,5,4,Urban,12,0,Yes,1.6,6.4,175.08
PROP-1175,3962,5,3,Suburban,20,3,Yes,9.3,9.4,152.6
PROP-1176,1213,2,2,Urban,20,1,No,6.3,6.4,50.88
PROP-1177,1670,2,2,Urban,4,2,Yes,4.3,5.7,87.83
PROP-1178,745,1,2,Rural,9,1,Yes,22.0,5.7,19.92
PROP-1179,2573,4,3,Rural,5,0,Yes,16.2,5.9,80.34
PROP-1180,2407,4,3,Urban,12,2,No,5.3,5.8,122.17
PROP-1181,3182,5,3,Urban,0,2,No,5.2,4.8,159.45
PROP-1182,4128,5,3,Urban,19,1,Yes,4.7,5.0,196.5
PROP-1183,2928,4,3,Urban,7,1,No,4.1,5.5,141.02
PROP-1184,3446,5,3,Rural,9,2,Yes,22.4,7.7,109.95
PROP-1185,2328,5,4,Urban,8,0,No,4.6,6.2,115.34
PROP-1186,3892,5,3,Suburban,2,2,Yes,8.8,6.5,161.98
PROP-1187,1190,1,1,Urban,10,1,No,6.6,8.8,58.61
PROP-1188,1709,3,2,Rural,11,1,Yes,25.0,8.9,50.73
PROP-1189,3222,4,3,Urban,9,3,No,2.9,6.3,160.5
PROP-1190,1833,3,3,Suburban,24,2,No,11.4,5.8,62.11
PROP-1191,2372,4,4,Urban,24,1,No,5.8,5.4,110.31
PROP-1192,3964,5,3,Suburban,10,2,Yes,7.9,7.9,159.78
PROP-1193,3807,5,4,Urban,25,1,No,2.8,6.5,173.67
PROP-1194,2469,4,3,Urban,13,1,No,5.1,6.2,120.42
PROP-1195,3275,4,3,Rural,0,3,Yes,20.4,5.5,107.55
PROP-1196,3379,4,3,Rural,3,2,Yes,28.5,5.6,101.12
PROP-1197,3254,5,4,Rural,29,2,Yes,17.2,7.3,96.36
PROP-1198,2247,3,3,Suburban,11,1,No,15.2,4.7,80.55
PROP-1199,3710,5,3,Suburban,34,0,Yes,6.8,8.4,136.81
PROP-1200,3343,5,4,Urban,12,0,Yes,1.1,5.9,168.43
PROP-1201,1445,2,2,Urban,30,1,No,6.4,6.6,67.51
PROP-1202,1701,2,1,Urban,22,2,No,4.5,4.7,79.07
PROP-1203,2293,1,1,Suburban,3,1,Yes,10.2,6.8,88.93
PROP-1204,2013,2,1,Urban,15,2,No,2.4,6.3,94.29
PROP-1205,2631,4,3,Urban,6,0,No,4.7,6.7,132.26
PROP-1206,2004,3,2,Suburban,21,1,Yes,12.1,9.2,72.58
PROP-1207,2313,4,2,Suburban,28,1,No,17.9,7.1,77.54
PROP-1208,2179,2,2,Urban,10,1,No,6.9,5.5,103.12
PROP-1209,2688,3,3,Urban,32,0,Yes,4.8,5.7,124.62
PROP-1210,4069,5,4,Urban,28,3,No,3.7,7.8,201.3
PROP-1211,2146,3,2,Urban,11,1,No,3.9,8.9,109.18
PROP-1212,3952,5,4,Urban,6,3,No,5.1,7.3,200.31
PROP-1213,2887,5,3,Suburban,25,1,Yes,7.2,7.9,116.8
PROP-1214,3946,5,3,Suburban,8,3,Yes,9.9,7.8,159.02
PROP-1215,2058,3,2,Suburban,33,1,Yes,6.9,9.1,75.34
PROP-1216,2050,3,2,Urban,12,3,No,1.4,3.7,102.24
PROP-1217,1956,3,2,Suburban,24,0,Yes,8.4,7.9,73.79
PROP-1218,3330,5,4,Urban,23,2,Yes,3.9,8.4,163.75
PROP-1219,3325,5,4,Suburban,16,3,Yes,15.4,4.7,133.01
PROP-1220,1622,3,2,Suburban,1,0,Yes,11.8,5.4,67.71
PROP-1221,2418,3,2,Urban,12,0,No,3.0,5.4,112.41
PROP-1222,1932,3,2,Urban,30,1,No,1.5,5.6,95.64
PROP-1223,4080,5,4,Rural,28,3,Yes,24.4,6.0,115.17
PROP-1224,1359,1,1,Urban,27,1,No,2.6,7.2,57.19
PROP-1225,2129,3,2,Suburban,26,1,Yes,13.4,8.2,77.29
PROP-1226,2084,3,2,Urban,14,0,Yes,6.9,8.5,103.15
PROP-1227,1298,2,2,Suburban,30,0,No,7.3,5.5,37.27
PROP-1228,967,2,2,Urban,14,2,No,2.3,5.4,45.13
PROP-1229,3946,5,4,Urban,32,0,No,3.8,8.9,184.03
PROP-1230,1907,3,3,Suburban,19,2,Yes,17.6,7.8,74.7
PROP-1231,1333,2,1,Urban,11,3,Yes,5.6,6.9,77.09
PROP-1232,1313,1,1,Urban,8,1,Yes,6.4,7.6,74.21
PROP-1233,2648,4,3,Urban,22,2,No,3.0,6.8,134.75
PROP-1234,4095,5,3,Urban,7,0,No,7.0,7.6,194.39
PROP-1235,2281,4,3,Urban,31,2,No,1.6,6.3,107.62
PROP-1236,2145,2,2,Urban,13,0,No,1.3,7.2,100.92
PROP-1237,3954,5,4,Rural,26,2,Yes,29.5,4.4,113.47
PROP-1238,1786,3,3,Urban,24,1,No,6.6,5.7,81.75
PROP-1239,2503,4,3,Suburban,12,1,Yes,7.1,5.7,96.5
PROP-1240,2170,3,3,Urban,20,1,No,1.7,6.2,102.83
PROP-1241,3139,5,4,Urban,30,0,No,1.2,5.3,149.27
PROP-1242,1213,2,1,Rural,4,2,No,16.8,5.9,37.12
PROP-1243,1941,3,2,Urban,12,1,Yes,2.3,4.4,95.99
PROP-1244,4107,5,3,Rural,27,2,Yes,31.5,7.7,115.43
PROP-1245,4108,5,4,Urban,24,0,Yes,5.0,6.7,188.48
PROP-1246,3834,5,4,Suburban,34,2,Yes,15.3,4.1,139.16
PROP-1247,2286,3,2,Suburban,6,0,Yes,15.3,5.5,87.61
PROP-1248,3649,5,4,Rural,31,1,Yes,24.1,7.3,98.83
PROP-1249,3802,5,3,Suburban,2,1,Yes,15.6,5.9,145.77
PROP-1250,1348,2,1,Suburban,21,2,Yes,13.1,5.7,41.56
PROP-1251,2810,3,2,Urban,7,1,Yes,2.9,6.7,146.31
PROP-1252,651,2,2,Urban,16,2,Yes,4.4,7.3,38.27
PROP-1253,1291,2,1,Rural,26,2,Yes,24.1,4.5,26.75
PROP-1254,2917,4,3,Urban,32,0,Yes,5.9,7.7,139.0
PROP-1255,2239,3,3,Urban,16,2,No,6.9,5.5,113.15
PROP-1256,1504,2,1,Suburban,11,0,Yes,10.9,6.8,54.91
PROP-1257,2409,3,2,Urban,26,1,No,5.6,6.7,107.81
PROP-1258,3946,4,3,Rural,7,2,Yes,16.7,6.0,120.65
PROP-1259,3082,5,4,Suburban,22,2,No,15.3,5.2,119.27
PROP-1260,4124,5,4,Suburban,28,2,Yes,10.5,6.3,156.74
PROP-1261,2311,2,2,Rural,19,1,Yes,15.7,9.4,64.38
PROP-1262,1803,2,1,Urban,15,1,Yes,3.2,4.6,79.72
PROP-1263,1726,2,2,Urban,16,0,Yes,4.7,9.5,82.82
PROP-1264,2357,3,2,Suburban,15,2,Yes,7.4,6.4,97.22
PROP-1265,3427,5,3,Urban,18,1,No,6.5,6.9,163.38
PROP-1266,2345,4,3,Suburban,7,2,Yes,6.9,5.1,97.17
PROP-1267,2383,4,4,Rural,28,1,Yes,30.8,5.6,57.57
PROP-1268,2089,4,3,Suburban,25,1,Yes,14.5,6.0,78.06
PROP-1269,2944,4,4,Urban,30,1,No,3.0,5.1,136.05
PROP-1270,1485,1,1,Rural,11,0,Yes,21.6,6.5,33.41
PROP-1271,4160,5,4,Suburban,16,1,Yes,14.9,6.1,162.91
PROP-1272,852,2,2,Suburban,14,2,Yes,13.2,9.8,46.71
PROP-1273,3905,5,3,Urban,8,2,Yes,5.0,4.9,188.61
PROP-1274,772,2,2,Rural,11,1,Yes,21.6,7.0,23.36
PROP-1275,1050,2,2,Suburban,31,1,No,11.9,7.2,29.1
PROP-1276,1416,2,2,Suburban,24,0,Yes,17.9,5.1,41.68
PROP-1277,943,1,1,Suburban,17,2,No,8.6,7.9,36.1
PROP-1278,2977,4,4,Urban,14,0,Yes,3.5,6.2,146.9
PROP-1279,3581,5,4,Suburban,31,3,Yes,9.5,2.8,135.63
PROP-1280,847,1,1,Suburban,5,1,Yes,15.2,7.9,36.66
PROP-1281,3679,5,4,Urban,34,1,No,5.6,5.0,169.87
PROP-1282,2580,3,3,Suburban,33,3,Yes,9.5,5.1,93.78
PROP-1283,3449,5,3,Rural,4,0,Yes,16.4,7.9,105.74
PROP-1284,2841,4,3,Suburban,17,1,Yes,6.1,6.2,107.31
PROP-1285,1258,2,2,Suburban,15,1,No,11.1,8.3,44.64
PROP-1286,3922,5,4,Suburban,7,1,Yes,10.9,8.7,166.38
PROP-1287,1797,3,3,Suburban,24,1,No,17.9,5.8,56.74
PROP-1288,836,2,2,Urban,31,2,No,3.8,8.1,36.44
PROP-1289,4047,5,4,Urban,25,2,No,2.5,5.6,195.15
PROP-1290,3161,5,3,Suburban,21,0,Yes,16.7,10.0,121.2
PROP-1291,4070,5,4,Suburban,30,3,Yes,11.9,5.7,154.78
PROP-1292,2444,4,3,Suburban,9,0,Yes,13.2,8.4,103.4
PROP-1293,1309,3,2,Suburban,11,1,No,7.1,8.2,57.19
PROP-1294,3461,5,3,Urban,27,1,Yes,3.3,7.3,166.93
PROP-1295,3652,5,4,Suburban,5,0,Yes,17.3,5.7,138.8
PROP-1296,2605,4,3,Urban,19,0,No,4.5,6.6,121.47
PROP-1297,3100,5,4,Suburban,4,3,Yes,10.1,3.4,132.33
PROP-1298,2019,2,1,Suburban,22,1,No,13.5,7.2,65.77
PROP-1299,2636,3,2,Urban,8,0,No,6.5,7.4,118.84
PROP-1300,2184,3,2,Urban,28,0,Yes,2.6,7.0,102.24
PROP-1301,796,1,1,Suburban,15,2,Yes,12.1,2.0,18.48
PROP-1302,3869,5,4,Suburban,21,2,Yes,17.5,4.8,152.71
PROP-1303,3561,4,3,Urban,7,1,Yes,2.0,5.6,173.85
PROP-1304,2384,4,3,Rural,19,0,Yes,27.2,7.3,63.37
PROP-1305,2493,3,3,Suburban,13,1,Yes,13.4,7.3,98.04
PROP-1306,1138,2,1,Rural,33,0,No,26.6,6.5,15.0
PROP-1307,3626,5,3,Suburban,10,0,Yes,10.2,7.8,141.61
PROP-1308,2609,4,3,Suburban,32,1,No,9.8,5.2,92.12
PROP-1309,2313,3,2,Rural,30,1,Yes,26.6,7.8,62.53
PROP-1310,3248,4,3,Suburban,33,1,Yes,8.6,7.6,123.69
PROP-1311,3035,5,4,Suburban,6,1,No,11.0,7.4,127.86
PROP-1312,3569,5,4,Urban,22,3,No,2.1,6.5,174.22
PROP-1313,1290,2,1,Suburban,6,3,Yes,6.1,9.7,65.51
PROP-1314,2452,3,2,Urban,24,1,No,6.8,7.6,113.65
PROP-1315,3170,5,3,Urban,2,1,Yes,3.6,5.3,163.81
PROP-1316,2619,4,3,Urban,19,1,No,6.8,7.2,130.81
PROP-1317,2848,4,3,Urban,33,1,No,1.8,8.0,133.83
PROP-1318,2088,3,2,Rural,29,2,Yes,25.0,5.9,50.57
PROP-1319,4019,5,3,Urban,16,1,Yes,2.2,8.5,202.46
PROP-1320,2284,3,2,Suburban,9,2,Yes,15.5,7.4,84.85
PROP-1321,912,3,3,Suburban,34,3,Yes,15.4,3.1,29.85
PROP-1322,2437,3,2,Suburban,19,1,No,7.4,7.3,89.79
PROP-1323,2841,4,3,Urban,17,1,No,6.5,6.2,132.18
PROP-1324,3043,5,4,Suburban,26,0,Yes,8.3,7.7,122.1
PROP-1325,1273,1,1,Suburban,22,1,Yes,13.4,8.3,40.37
PROP-1326,1666,2,1,Suburban,31,1,Yes,17.8,7.1,51.83
PROP-1327,1530,2,2,Suburban,9,1,Yes,16.6,9.5,63.4
PROP-1328,2699,4,3,Rural,10,2,Yes,31.3,6.5,82.38
PROP-1329,3594,5,4,Suburban,5,0,Yes,10.1,7.8,145.32
PROP-1330,1977,2,1,Urban,33,1,Yes,1.6,8.1,95.12
PROP-1331,2951,4,2,Suburban,16,2,Yes,8.3,6.6,119.16
PROP-1332,1102,1,1,Urban,11,2,No,4.0,8.0,56.7
PROP-1333,3758,5,4,Rural,20,1,Yes,28.5,5.8,100.63
PROP-1334,1833,3,3,Urban,18,2,No,1.9,6.1,87.5
PROP-1335,3712,5,4,Urban,2,1,No,5.0,4.7,183.37
PROP-1336,2706,4,3,Suburban,17,1,Yes,9.9,7.2,105.11
PROP-1337,3954,5,4,Suburban,18,0,No,10.1,7.3,151.29
PROP-1338,3820,5,4,Urban,5,1,No,5.0,8.7,195.25
PROP-1339,2332,4,3,Suburban,15,2,Yes,11.6,8.1,96.91
PROP-1340,3513,5,4,Rural,7,2,No,28.8,6.3,98.01
PROP-1341,2905,4,3,Urban,17,2,No,1.9,4.9,143.14
PROP-1342,1804,3,2,Rural,11,1,No,28.4,7.5,41.94
PROP-1343,1053,1,1,Urban,9,0,No,1.4,8.6,49.55
PROP-1344,2849,5,4,Suburban,6,0,Yes,8.3,8.0,116.59
PROP-1345,2751,4,3,Suburban,0,1,Yes,13.9,8.5,114.66
PROP-1346,3841,5,4,Urban,20,2,No,6.1,6.5,190.27
PROP-1347,2346,3,2,Suburban,23,2,Yes,9.0,6.1,89.26
PROP-1348,1277,3,2,Urban,24,1,Yes,3.0,5.6,62.01
PROP-1349,1236,2,1,Suburban,6,1,Yes,12.4,6.7,44.2
PROP-1350,2298,5,4,Suburban,16,1,Yes,8.5,6.7,99.0
PROP-1351,2093,3,2,Suburban,28,1,Yes,15.7,7.1,70.96
PROP-1352,2095,3,2,Urban,29,1,Yes,5.6,6.6,98.69
PROP-1353,753,1,1,Urban,6,0,No,1.9,6.6,35.45
PROP-1354,903,1,1,Urban,32,0,No,3.8,5.6,33.4
PROP-1355,3948,5,4,Urban,6,0,No,5.6,8.3,193.99
PROP-1356,3833,5,4,Suburban,23,0,Yes,10.0,6.9,145.07
PROP-1357,3207,5,3,Rural,10,0,Yes,25.8,6.5,93.39
PROP-1358,2146,3,2,Suburban,8,2,Yes,6.6,5.6,96.18
PROP-1359,748,1,1,Suburban,11,1,Yes,13.3,4.7,27.77
PROP-1360,2850,5,4,Rural,34,3,No,17.6,8.9,85.48
PROP-1361,2534,3,1,Suburban,3,0,Yes,16.0,7.7,95.66
PROP-1362,3611,5,4,Rural,27,1,No,21.0,4.2,93.53
PROP-1363,2569,3,3,Suburban,12,1,Yes,9.4,8.0,100.13
PROP-1364,1527,2,1,Urban,22,0,No,6.0,8.3,65.52
PROP-1365,987,2,2,Urban,18,2,No,1.3,7.0,49.6
PROP-1366,3519,5,4,Suburban,23,0,Yes,10.8,9.4,139.82
PROP-1367,3884,5,4,Urban,15,3,Yes,3.2,7.1,195.34
PROP-1368,1606,3,2,Urban,32,2,No,2.7,4.5,76.78
PROP-1369,2354,2,2,Suburban,11,1,No,16.9,7.4,85.9
PROP-1370,810,1,1,Suburban,33,1,Yes,15.0,7.2,20.93
